1,Camilo,camilo@email.com,CLO,2021-12-01T08:00:00Z,120
2,Maria,maria@email.com,BOG,2021-12-02T09:30:00Z,150
3,Juan,juan@email.com,MDE,2021-12-03T07:45:00Z,180
4,Laura,laura@email.com,CLO,2021-12-04T10:15:00Z,200
5,Pedro,pedro@email.com,BOG,2021-12-05T11:00:00Z,220
6,Ana,ana@email.com,MDE,2021-12-06T12:30:00Z,170
7,Luis,luis@email.com,CLO,2021-12-07T13:45:00Z,190
8,Carla,carla@email.com,BOG,2021-12-08T14:00:00Z,160
9,Jorge,jorge@email.com,MDE,2021-12-09T15:30:00Z,210
10,Sofia,sofia@email.com,CLO,2021-12-10T16:00:00Z,130
